accurate, 間違いのない
admire, ～を素晴らしいと思う
agree, 賛成する
alert, 油断のない
amuse, ～を面白いと思わせる
annoy, ～を悩ませる
appreciate, ～を正しく理解する
approve, ～に賛成する
astonish, ～を驚かせる
attract, ～を引きつける
blame, ～に責任を負わせる
blush, 顔を赤らめる
celebrate, ～を祝う
certain, 確信している
cherish, ～を大事にする
complain, 不平を言う
complex, 複合の
condemn, ～を非難する
confuse, ～を困惑させる
considerate, 思いやりがある
criticize, ～を非難する
cruel, 冷酷な
curious, 好奇心が強い
deaf, 耳を傾けない
decline, ～を（丁重に）断る
delight, 歓喜
deny, ～を否定する
desire, ～してほしいと願う
desperate, 必死の
disappointed, 失望した
disturb, ～をかき乱す
education, 教育
efficient, 有能な
enthusiastic, 熱狂的な
expect, ～を予期する
fascinate, ～を魅了する
forecast, 予報
frighten, ～をぎょっとさせる
frightened, おびえた
generous, 気前のよい
gratitude, 感謝
grief, 深い悲しみ
guess, ～を推測する
hesitate, ためらう
imagine, ～を想像する
impact, 影響
impulse, 衝動
indifferent, 無関心な
instinct, 本能
insult, ～を侮辱する
irritated, いらいらした
issue, 論点
keen, 熱心な
logical, 論理にかなった
marvelous, 驚くべき
miss, ～に乗り損なう
modest, 控えめな
nasty, 不快な
negative, 否定的な
nervous, 神経質な
offend, ～の感情を害する
oppose, ～に反対する
optimistic, 楽天主義の
passive, 受動的な
positive, 前向きな
praise, ～を褒める
predict, ～を予言する
protest, 抗議
realize, ～を悟る
regret, ～を後悔する
reject, ～を拒絶する
reluctant, したがらない
responsibility, 責任
rude, 失礼な
scared, 怖がる
scary, 恐ろしい
scent, （快い）におい
sensation, 感覚
sensible, 分別のある
serious, 本気の
shame, 恥
sigh, ため息をつく
silly, ばかばかしい
sincere, 正直な
stimulate, ～を刺激する
strict, 厳しい
stubborn, 頑固な
suppose, ～だと思う
suspect, ～であるらしいと疑う
sympathy, 同情
tension, 緊張
terrible, 恐ろしい
threat, 脅迫
upset, 取り乱している
viewpoint, 見地
violence, 暴力
virtue, 善
willing, いとわない
wonder, ～かなと思う
FALSE, 誤った
