access,接近方法
accustomed,慣れた
add,～を加える
adequate,十分な量の
affair,事柄
alike,似ている
alive,生きて
annual,年1回の
appetite,食欲
architecture,建築
available,利用できる
bare,裸の
borrow,～を借りる
casual,打ち解けた
communicate,～を伝達する
conscious,気付いている
consume,～を消費する
convenient,便利な
count,～を数える
dawn,夜明け
decay,腐る
decorate,～を飾る
dialogue,対話
diet,飲食物
distant,遠い
distinct,異なった
divorce,離婚
domestic,家庭の
eager,熱望している
effort,努力
estate,地所
estimate,～を見積もる
exact,正確な
exclaim,叫ぶ
familiar,よく知られた
feed,～に食べ物を与える
finance,財政
fix,～を修理する
flavor,風味
fortune,運
frequent,たびたび起こる
funeral,葬式
further,さらなる
glance,一見
grade,等級
grow,育つ
habit,習慣
hang,～をつるす
incident,出来事
inevitable,避けられない
inform,～に知らせる
instruction,教授
instrument,道具
last,続く
lie,横たわる
likely,ありそうな
loose,緩い
majority,大多数
means,手段
nap,うたた寝
ordinary,ありふれた
owe,～を借りている
possess,～を持つ
postpone,～を延期する
pour,～をつぐ
precious,高価な
prepare,～の用意をする
private,私的な
profession,職業
purchase,～を購入する
raise,～を上げる
range,（範囲などが）及んでいる
rate,割合
reduce,～を減らす
rent,～を賃借りする
reply,返事する
residence,住宅
resident,居住者
rise,上がる
role,役割
rough,ざらざらした
seize,～をつかむ
sew,～を縫う
shortage,不足
slight,わずかな
spare,予備の
spill,～をこぼす
stare,じっと見つめる
store,～を蓄える
stuff,（漠然と）物
subject,主題
sufficient,十分な
supply,供給
surrender,引渡し
taste,～を味わう
trash,ごみ
trouble,心配
vain,無駄な
wipe,～を軽くこする
worth,価値がある
