adjust,	～を適合させる
advance,	～を前進させる
afford,	～する余裕がある
ancestor,	先祖
ancient,	古代の
appear,	現れる
approach,	～に近付く
assume,	～を想定する
atmosphere,	雰囲気
ban,	～を禁止する
bet,	～を賭ける
biography,	伝記
border,	境界
boring,	退屈な
boundary,	境界線
brief,	短時間の
cancel,	～を取り消す
cease,	終わる
citizen,	国民
civilization,	文明
climate,	（地域特有の）気候
colony,	植民地
conduct,	～を行う
conquer,	～を征服する
contemporary,	現代の
content,	満足して
cost,	～がかかる
current,	今の
decade,	10年間
declare,	～を宣言する
decrease,	（徐々に）減少する
delay,	～を延期する
descendant,	子孫
destination,	目的地
destiny,	運命
develop,	～を発達させる
disappear,	見えなくなる
district,	地区
epoch,	新時代
era,	（歴史上重要な）時代
evolution,	進化
exchange,	～を交換する
fade,	（徐々に）衰える
fare,	運賃
flexible,	融通の利く
fluent,	流ちょうな
found,	～の基礎を築く
heritage,	（自然環境や遺跡などの）遺産
holy,	神聖な
ideal,	理想的な
immense,	計り知れない
immigrant,	（外国からの）移民
independent,	独立した
intend,	～を意図する
invade,	～に侵入する
involved,	入り組んだ
legend,	伝説
linguistic,	言葉の
literate,	学識のある
locate,	（場所など）を突き止める
manage,	首尾よく～し遂げる
mankind,	人類
nationality,	国籍
native,	母国の
occupation,	職業
organize,	～を組織する
origin,	起源
outlook,	見晴らし
participate,	加わる
pavement,	舗装
peninsula,	半島
progress,	進歩
prosperity,	繁栄
province,	地方
rapid,	速い
region,	地域
release,	～を自由にする
remain,	依然として～のままである
reserve,	～を予約する
ruin,	～を壊滅させる
rule,	～を支配する
rural,	田舎の
separate,	～を分ける
slave,	奴隷
source,	源
submit,	～を提出する
surround,	～を囲む
term,	専門用語
trace,	～をたどる
tradition,	伝統
transfer,	～を移す
translate,	～を翻訳する
transportation,	運送
treasure,	財宝
tribe,	種族
undergo,	～を経験する
unite,	～を結合させる
urban,	都市の
vacant,	中身のない
voyage,	船旅
